Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Flush,442,75,517,Myitkyina,MMR001001
 Water seal (Improved pit latrine),35299,6411,41710,Myitkyina,MMR001001
 Pit (Traditional pit latrine),3772,4105,7877,Myitkyina,MMR001001
 Bucket (Surface latrine),71,71,142,Myitkyina,MMR001001
 Other,29,57,86,Myitkyina,MMR001001
 No toilet,55,196,251,Myitkyina,MMR001001
 Total,39668,10915,50583,Myitkyina,MMR001001
 Flush,51,100,151,Waingmaw,MMR001002
 Water seal (Improved pit latrine),3523,12949,16472,Waingmaw,MMR001002
 Pit (Traditional pit latrine),205,2002,2207,Waingmaw,MMR001002
 Bucket (Surface latrine),1,69,70,Waingmaw,MMR001002
 Other,24,366,390,Waingmaw,MMR001002
 No toilet,16,474,490,Waingmaw,MMR001002
 Total,3820,15960,19780,Waingmaw,MMR001002
 Water seal (Improved pit latrine),41,89,130,Ingyanyan,MMR001003
 Pit (Traditional pit latrine),32,84,116,Ingyanyan,MMR001003
 Bucket (Surface latrine),-,9,9,Ingyanyan,MMR001003
 No toilet,5,25,30,Ingyanyan,MMR001003
 Total,78,207,285,Ingyanyan,MMR001003
 Flush,165,9,174,Tanaing,MMR001004
 Water seal (Improved pit latrine),3413,2205,5618,Tanaing,MMR001004
 Pit (Traditional pit latrine),94,425,519,Tanaing,MMR001004
 Bucket (Surface latrine),1,29,30,Tanaing,MMR001004
 Other,3,13,16,Tanaing,MMR001004
 No toilet,18,23,41,Tanaing,MMR001004
 Total,3694,2704,6398,Tanaing,MMR001004
 Flush,5,6,11,Chiphwe,MMR001005
 Water seal (Improved pit latrine),292,650,942,Chiphwe,MMR001005
 Pit (Traditional pit latrine),13,359,372,Chiphwe,MMR001005
 Bucket (Surface latrine),1,299,300,Chiphwe,MMR001005
 Other,6,156,162,Chiphwe,MMR001005
 No toilet,12,132,144,Chiphwe,MMR001005
 Total,329,1602,1931,Chiphwe,MMR001005
 Flush,-,4,4,Hsotlaw,MMR001006
 Water seal (Improved pit latrine),41,216,257,Hsotlaw,MMR001006
 Pit (Traditional pit latrine),23,544,567,Hsotlaw,MMR001006
 Bucket (Surface latrine),-,91,91,Hsotlaw,MMR001006
 Other,1,63,64,Hsotlaw,MMR001006
 No toilet,1,89,90,Hsotlaw,MMR001006
 Total,66,1007,1073,Hsotlaw,MMR001006
 Flush,-,1,1,Hsinbo(ST),MMR001001
 Water seal (Improved pit latrine),677,1064,1741,Hsinbo(ST),MMR001001
 Pit (Traditional pit latrine),12,153,165,Hsinbo(ST),MMR001001
 Bucket (Surface latrine),1,5,6,Hsinbo(ST),MMR001001
 Other,3,10,13,Hsinbo(ST),MMR001001
 No toilet,11,71,82,Hsinbo(ST),MMR001001
 Total,704,1304,2008,Hsinbo(ST),MMR001001
 Flush,7,2,9,Hsadone(ST),MMR001002
 Water seal (Improved pit latrine),478,765,1243,Hsadone(ST),MMR001002
 Pit (Traditional pit latrine),16,220,236,Hsadone(ST),MMR001002
 Bucket (Surface latrine),2,16,18,Hsadone(ST),MMR001002
 Other,2,3,5,Hsadone(ST),MMR001002
 No toilet,5,94,99,Hsadone(ST),MMR001002
 Total,510,1100,1610,Hsadone(ST),MMR001002
 Flush,1,1,2,Kanpaikti(ST),MMR001002
 Water seal (Improved pit latrine),163,489,652,Kanpaikti(ST),MMR001002
 Pit (Traditional pit latrine),8,500,508,Kanpaikti(ST),MMR001002
 Bucket (Surface latrine),-,48,48,Kanpaikti(ST),MMR001002
 Other,-,70,70,Kanpaikti(ST),MMR001002
 No toilet,2,188,190,Kanpaikti(ST),MMR001002
 Total,174,1296,1470,Kanpaikti(ST),MMR001002
 Flush,19,4,23,Shinbwayyan(ST),MMR001004
 Water seal (Improved pit latrine),898,773,1671,Shinbwayyan(ST),MMR001004
 Pit (Traditional pit latrine),64,317,381,Shinbwayyan(ST),MMR001004
 Bucket (Surface latrine),1,4,5,Shinbwayyan(ST),MMR001004
 Other,9,1,10,Shinbwayyan(ST),MMR001004
 No toilet,34,6,40,Shinbwayyan(ST),MMR001004
 Total,1025,1105,2130,Shinbwayyan(ST),MMR001004
 Flush,9,4,13,Panwa(ST),MMR001005
 Water seal (Improved pit latrine),141,271,412,Panwa(ST),MMR001005
 Pit (Traditional pit latrine),27,495,522,Panwa(ST),MMR001005
 Bucket (Surface latrine),2,194,196,Panwa(ST),MMR001005
 Other,7,26,33,Panwa(ST),MMR001005
 No toilet,10,189,199,Panwa(ST),MMR001005
 Total,196,1179,1375,Panwa(ST),MMR001005
 Flush,129,153,282,Mohnyin,MMR001007
 Water seal (Improved pit latrine),5865,22051,27916,Mohnyin,MMR001007
