Toilet,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Flush,152,54,206,Dekkhinathiri,MMR018004
 Water seal (Improved pit latrine),726,5667,6393,Dekkhinathiri,MMR018004
 Pit (Traditional pit latrine),16,38,54,Dekkhinathiri,MMR018004
 Bucket (Surface latrine),2,13,15,Dekkhinathiri,MMR018004
 Other,8,4,12,Dekkhinathiri,MMR018004
 No toilet,4,313,317,Dekkhinathiri,MMR018004
 Total,908,6089,6997,Dekkhinathiri,MMR018004
 Flush,158773,70202,228975,Dekkhinathiri,MMR018004
 Water seal (Improved pit latrine),2656262,5198875,7855137,Dekkhinathiri,MMR018004
 Pit (Traditional pit latrine),116972,738473,855445,Dekkhinathiri,MMR018004
 Bucket (Surface latrine),30781,260135,290916,Dekkhinathiri,MMR018004
 Other,9259,76416,85675,Dekkhinathiri,MMR018004
 No toilet,77386,1484298,1561684,Dekkhinathiri,MMR018004
 Total,3049433,7828399,10877832,Dekkhinathiri,MMR018004
