Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6964,72232,79196,Hsihseng,MMR014004
 Associate Scrutiny Card (blue),13,85,98,Hsihseng,MMR014004
 Naturalised Scrutiny Card (green),9,159,168,Hsihseng,MMR014004
 National Registration Card (3-fold),194,922,1116,Hsihseng,MMR014004
 Religious card,67,446,513,Hsihseng,MMR014004
 Temporary Registration Card (white),5,95,100,Hsihseng,MMR014004
 Foreign Registration Card (FRC),4,6,10,Hsihseng,MMR014004
 Foreign Passport,-,26,26,Hsihseng,MMR014004
 None,2406,31772,34178,Hsihseng,MMR014004
 Child under 10 years,2411,35216,37627,Hsihseng,MMR014004
 Total,12073,140959,153032,Hsihseng,MMR014004
