Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),14356,52285,66641,Chaung Oo,MMR005015
 Associate Scrutiny Card (blue),1,29,30,Chaung Oo,MMR005015
 Naturalised Scrutiny Card (green),18,135,153,Chaung Oo,MMR005015
 National Registration Card (3-fold),112,401,513,Chaung Oo,MMR005015
 Religious card,258,394,652,Chaung Oo,MMR005015
 Temporary Registration Card (white),31,60,91,Chaung Oo,MMR005015
 Foreign Registration Card (FRC),1,1,2,Chaung Oo,MMR005015
 Foreign Passport,2,13,15,Chaung Oo,MMR005015
 None,3942,17587,21529,Chaung Oo,MMR005015
 Child under 10 years,3208,13121,16329,Chaung Oo,MMR005015
 Total,21929,84026,105955,Chaung Oo,MMR005015
