Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),114461,75569,190030,Pathein,MMR017001
 Associate Scrutiny Card (blue),750,38,788,Pathein,MMR017001
 Naturalised Scrutiny Card (green),465,86,551,Pathein,MMR017001
 National Registration Card (3-fold),732,292,1024,Pathein,MMR017001
 Religious card,1208,322,1530,Pathein,MMR017001
 Temporary Registration Card (white),290,211,501,Pathein,MMR017001
 Foreign Registration Card (FRC),171,10,181,Pathein,MMR017001
 Foreign Passport,50,16,66,Pathein,MMR017001
 None,28262,18916,47178,Pathein,MMR017001
 Child under 10 years,23384,21838,45222,Pathein,MMR017001
 Total,169773,117298,287071,Pathein,MMR017001
