Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6346,57088,63434,Hlaingbwe,MMR003002
 Associate Scrutiny Card (blue),3,44,47,Hlaingbwe,MMR003002
 Naturalised Scrutiny Card (green),63,607,670,Hlaingbwe,MMR003002
 National Registration Card (3-fold),249,950,1199,Hlaingbwe,MMR003002
 Religious card,18,422,440,Hlaingbwe,MMR003002
 Temporary Registration Card (white),56,334,390,Hlaingbwe,MMR003002
 Foreign Registration Card (FRC),-,7,7,Hlaingbwe,MMR003002
 Foreign Passport,-,81,81,Hlaingbwe,MMR003002
 None,2579,47965,50544,Hlaingbwe,MMR003002
 Child under 10 years,2197,36535,38732,Hlaingbwe,MMR003002
 Total,11511,144033,155544,Hlaingbwe,MMR003002
