Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9203,36980,46183,Tedim,MMR004004
 Associate Scrutiny Card (blue),1,14,15,Tedim,MMR004004
 Naturalised Scrutiny Card (green),2,18,20,Tedim,MMR004004
 National Registration Card (3-fold),11,265,276,Tedim,MMR004004
 Religious card,-,18,18,Tedim,MMR004004
 Temporary Registration Card (white),-,25,25,Tedim,MMR004004
 Foreign Passport,-,29,29,Tedim,MMR004004
 None,1411,15460,16871,Tedim,MMR004004
 Child under 10 years,2824,21362,24186,Tedim,MMR004004
 Total,13452,74171,87623,Tedim,MMR004004
