Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13273,31632,44905,Shwegyin,MMR007008
 Associate Scrutiny Card (blue),14,12,26,Shwegyin,MMR007008
 Naturalised Scrutiny Card (green),77,117,194,Shwegyin,MMR007008
 National Registration Card (3-fold),746,329,1075,Shwegyin,MMR007008
 Religious card,199,268,467,Shwegyin,MMR007008
 Temporary Registration Card (white),147,393,540,Shwegyin,MMR007008
 Foreign Registration Card (FRC),4,2,6,Shwegyin,MMR007008
 Foreign Passport,2,11,13,Shwegyin,MMR007008
 None,5359,29942,35301,Shwegyin,MMR007008
 Child under 10 years,4758,20177,24935,Shwegyin,MMR007008
 Total,24579,82883,107462,Shwegyin,MMR007008
