Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1522,8560,10082,Minengaw(ST),MMR015012
 Associate Scrutiny Card (blue),22,5,27,Minengaw(ST),MMR015012
 Naturalised Scrutiny Card (green),47,49,96,Minengaw(ST),MMR015012
 National Registration Card (3-fold),22,287,309,Minengaw(ST),MMR015012
 Religious card,7,93,100,Minengaw(ST),MMR015012
 Temporary Registration Card (white),10,20,30,Minengaw(ST),MMR015012
 Foreign Registration Card (FRC),9,-,9,Minengaw(ST),MMR015012
 Foreign Passport,1,8,9,Minengaw(ST),MMR015012
 None,357,3484,3841,Minengaw(ST),MMR015012
 Child under 10 years,436,3962,4398,Minengaw(ST),MMR015012
 Total,2433,16468,18901,Minengaw(ST),MMR015012
