Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2007,55265,57272,Laymyethna,MMR017010
 Associate Scrutiny Card (blue),-,22,22,Laymyethna,MMR017010
 Naturalised Scrutiny Card (green),-,66,66,Laymyethna,MMR017010
 National Registration Card (3-fold),6,340,346,Laymyethna,MMR017010
 Religious card,37,294,331,Laymyethna,MMR017010
 Temporary Registration Card (white),4,67,71,Laymyethna,MMR017010
 Foreign Passport,-,19,19,Laymyethna,MMR017010
 None,373,25764,26137,Laymyethna,MMR017010
 Child under 10 years,430,18330,18760,Laymyethna,MMR017010
 Total,2857,100167,103024,Laymyethna,MMR017010
