Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2645,8528,11173,Kanpalet,MMR004008
 Associate Scrutiny Card (blue),-,4,4,Kanpalet,MMR004008
 Naturalised Scrutiny Card (green),-,9,9,Kanpalet,MMR004008
 National Registration Card (3-fold),1,17,18,Kanpalet,MMR004008
 Religious card,10,24,34,Kanpalet,MMR004008
 Temporary Registration Card (white),1,23,24,Kanpalet,MMR004008
 Foreign Registration Card (FRC),-,1,1,Kanpalet,MMR004008
 Foreign Passport,17,1,18,Kanpalet,MMR004008
 None,480,3027,3507,Kanpalet,MMR004008
 Child under 10 years,1005,5700,6705,Kanpalet,MMR004008
 Total,4159,17334,21493,Kanpalet,MMR004008
