Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1829,51095,52924,Ahmar(ST),MMR017023
 Associate Scrutiny Card (blue),4,34,38,Ahmar(ST),MMR017023
 Naturalised Scrutiny Card (green),2,62,64,Ahmar(ST),MMR017023
 National Registration Card (3-fold),2,277,279,Ahmar(ST),MMR017023
 Religious card,12,224,236,Ahmar(ST),MMR017023
 Temporary Registration Card (white),-,61,61,Ahmar(ST),MMR017023
 Foreign Passport,-,25,25,Ahmar(ST),MMR017023
 None,715,41313,42028,Ahmar(ST),MMR017023
 Child under 10 years,794,30330,31124,Ahmar(ST),MMR017023
 Total,3358,123421,126779,Ahmar(ST),MMR017023
