Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11375,58886,70261,Myinmu,MMR005002
 Associate Scrutiny Card (blue),11,19,30,Myinmu,MMR005002
 Naturalised Scrutiny Card (green),27,216,243,Myinmu,MMR005002
 National Registration Card (3-fold),37,1776,1813,Myinmu,MMR005002
 Religious card,160,510,670,Myinmu,MMR005002
 Temporary Registration Card (white),9,53,62,Myinmu,MMR005002
 Foreign Registration Card (FRC),4,1,5,Myinmu,MMR005002
 Foreign Passport,-,28,28,Myinmu,MMR005002
 None,2410,15941,18351,Myinmu,MMR005002
 Child under 10 years,2525,12998,15523,Myinmu,MMR005002
 Total,16558,90428,106986,Myinmu,MMR005002
