Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),10777,47590,58367,Phekon,MMR014010
 Associate Scrutiny Card (blue),3,24,27,Phekon,MMR014010
 Naturalised Scrutiny Card (green),2,48,50,Phekon,MMR014010
 National Registration Card (3-fold),20,471,491,Phekon,MMR014010
 Religious card,55,184,239,Phekon,MMR014010
 Temporary Registration Card (white),20,15,35,Phekon,MMR014010
 Foreign Passport,-,12,12,Phekon,MMR014010
 None,2213,15489,17702,Phekon,MMR014010
 Child under 10 years,3456,23211,26667,Phekon,MMR014010
 Total,16546,87044,103590,Phekon,MMR014010
