Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12641,74417,87058,Waw,MMR007004
 Associate Scrutiny Card (blue),41,61,102,Waw,MMR007004
 Naturalised Scrutiny Card (green),232,883,1115,Waw,MMR007004
 National Registration Card (3-fold),233,856,1089,Waw,MMR007004
 Religious card,108,490,598,Waw,MMR007004
 Temporary Registration Card (white),154,217,371,Waw,MMR007004
 Foreign Registration Card (FRC),1,5,6,Waw,MMR007004
 Foreign Passport,1,37,38,Waw,MMR007004
 None,5256,41094,46350,Waw,MMR007004
 Child under 10 years,4476,34811,39287,Waw,MMR007004
 Total,23143,152871,176014,Waw,MMR007004
