Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7270,63063,70333,Okpo,MMR008010
 Associate Scrutiny Card (blue),125,58,183,Okpo,MMR008010
 Naturalised Scrutiny Card (green),62,265,327,Okpo,MMR008010
 National Registration Card (3-fold),27,607,634,Okpo,MMR008010
 Religious card,29,414,443,Okpo,MMR008010
 Temporary Registration Card (white),47,189,236,Okpo,MMR008010
 Foreign Registration Card (FRC),4,2,6,Okpo,MMR008010
 Foreign Passport,-,12,12,Okpo,MMR008010
 None,2174,31504,33678,Okpo,MMR008010
 Child under 10 years,1787,19023,20810,Okpo,MMR008010
 Total,11525,115137,126662,Okpo,MMR008010
