Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3732,11914,15646,Mineyan,MMR016003
 Associate Scrutiny Card (blue),-,40,40,Mineyan,MMR016003
 Naturalised Scrutiny Card (green),4,29,33,Mineyan,MMR016003
 National Registration Card (3-fold),5,160,165,Mineyan,MMR016003
 Religious card,38,37,75,Mineyan,MMR016003
 Temporary Registration Card (white),5,265,270,Mineyan,MMR016003
 Foreign Registration Card (FRC),1,204,205,Mineyan,MMR016003
 Foreign Passport,-,30,30,Mineyan,MMR016003
 None,343,24947,25290,Mineyan,MMR016003
 Child under 10 years,838,9999,10837,Mineyan,MMR016003
 Total,4966,47625,52591,Mineyan,MMR016003
