Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9798,63554,73352,Paukkhaung,MMR008002
 Associate Scrutiny Card (blue),5,28,33,Paukkhaung,MMR008002
 Naturalised Scrutiny Card (green),80,157,237,Paukkhaung,MMR008002
 National Registration Card (3-fold),54,789,843,Paukkhaung,MMR008002
 Religious card,51,314,365,Paukkhaung,MMR008002
 Temporary Registration Card (white),117,1509,1626,Paukkhaung,MMR008002
 Foreign Registration Card (FRC),-,4,4,Paukkhaung,MMR008002
 Foreign Passport,5,20,25,Paukkhaung,MMR008002
 None,2051,27357,29408,Paukkhaung,MMR008002
 Child under 10 years,1876,17087,18963,Paukkhaung,MMR008002
 Total,14037,110819,124856,Paukkhaung,MMR008002
