Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),19226,-,19226,Dagon,MMR013043
 Associate Scrutiny Card (blue),112,-,112,Dagon,MMR013043
 Naturalised Scrutiny Card (green),166,-,166,Dagon,MMR013043
 National Registration Card (3-fold),135,-,135,Dagon,MMR013043
 Religious card,418,-,418,Dagon,MMR013043
 Temporary Registration Card (white),74,-,74,Dagon,MMR013043
 Foreign Registration Card (FRC),24,-,24,Dagon,MMR013043
 Foreign Passport,717,-,717,Dagon,MMR013043
 None,1762,-,1762,Dagon,MMR013043
 Child under 10 years,2448,-,2448,Dagon,MMR013043
 Total,25082,-,25082,Dagon,MMR013043
