Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3480,73311,76791,Sinpaungwe`,MMR009017
 Associate Scrutiny Card (blue),9,11,20,Sinpaungwe`,MMR009017
 Naturalised Scrutiny Card (green),2,88,90,Sinpaungwe`,MMR009017
 National Registration Card (3-fold),41,898,939,Sinpaungwe`,MMR009017
 Religious card,42,300,342,Sinpaungwe`,MMR009017
 Temporary Registration Card (white),1,43,44,Sinpaungwe`,MMR009017
 Foreign Registration Card (FRC),1,-,1,Sinpaungwe`,MMR009017
 Foreign Passport,-,6,6,Sinpaungwe`,MMR009017
 None,779,18266,19045,Sinpaungwe`,MMR009017
 Child under 10 years,734,19832,20566,Sinpaungwe`,MMR009017
 Total,5089,112755,117844,Sinpaungwe`,MMR009017
