Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),13004,83848,96852,Nattalin,MMR008012
 Associate Scrutiny Card (blue),14,43,57,Nattalin,MMR008012
 Naturalised Scrutiny Card (green),22,235,257,Nattalin,MMR008012
 National Registration Card (3-fold),94,1192,1286,Nattalin,MMR008012
 Religious card,295,479,774,Nattalin,MMR008012
 Temporary Registration Card (white),60,342,402,Nattalin,MMR008012
 Foreign Registration Card (FRC),5,2,7,Nattalin,MMR008012
 Foreign Passport,5,34,39,Nattalin,MMR008012
 None,3007,45057,48064,Nattalin,MMR008012
 Child under 10 years,2423,21980,24403,Nattalin,MMR008012
 Total,18929,153212,172141,Nattalin,MMR008012
