Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),77949,118669,196618,Kalay,MMR014005
 Associate Scrutiny Card (blue),58,32,90,Kalay,MMR014005
 Naturalised Scrutiny Card (green),91,96,187,Kalay,MMR014005
 National Registration Card (3-fold),209,541,750,Kalay,MMR014005
 Religious card,402,384,786,Kalay,MMR014005
 Temporary Registration Card (white),66,221,287,Kalay,MMR014005
 Foreign Registration Card (FRC),1,6,7,Kalay,MMR014005
 Foreign Passport,83,35,118,Kalay,MMR014005
 None,28124,52134,80258,Kalay,MMR014005
 Child under 10 years,23523,45949,69472,Kalay,MMR014005
 Total,130506,218067,348573,Kalay,MMR014005
