Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3699,74132,77831,Kani,MMR005017
 Associate Scrutiny Card (blue),-,35,35,Kani,MMR005017
 Naturalised Scrutiny Card (green),1,195,196,Kani,MMR005017
 National Registration Card (3-fold),26,1494,1520,Kani,MMR005017
 Religious card,51,415,466,Kani,MMR005017
 Temporary Registration Card (white),12,115,127,Kani,MMR005017
 Foreign Passport,-,23,23,Kani,MMR005017
 None,374,29178,29552,Kani,MMR005017
 Child under 10 years,724,24067,24791,Kani,MMR005017
 Total,4887,129654,134541,Kani,MMR005017
