Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),9533,86716,96249,Tasei,MMR005011
 Associate Scrutiny Card (blue),2,22,24,Tasei,MMR005011
 Naturalised Scrutiny Card (green),2,143,145,Tasei,MMR005011
 National Registration Card (3-fold),40,1019,1059,Tasei,MMR005011
 Religious card,24,604,628,Tasei,MMR005011
 Temporary Registration Card (white),6,193,199,Tasei,MMR005011
 Foreign Registration Card (FRC),-,1,1,Tasei,MMR005011
 Foreign Passport,1,10,11,Tasei,MMR005011
 None,2439,32960,35399,Tasei,MMR005011
 Child under 10 years,2314,29081,31395,Tasei,MMR005011
 Total,14361,150749,165110,Tasei,MMR005011
