Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3150,88648,91798,Palae,MMR005019
 Associate Scrutiny Card (blue),1,19,20,Palae,MMR005019
 Naturalised Scrutiny Card (green),4,107,111,Palae,MMR005019
 National Registration Card (3-fold),15,554,569,Palae,MMR005019
 Religious card,22,543,565,Palae,MMR005019
 Temporary Registration Card (white),-,46,46,Palae,MMR005019
 Foreign Registration Card (FRC),-,1,1,Palae,MMR005019
 Foreign Passport,-,13,13,Palae,MMR005019
 None,370,24481,24851,Palae,MMR005019
 Child under 10 years,533,25499,26032,Palae,MMR005019
 Total,4095,139911,144006,Palae,MMR005019
