Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5230,1069,6299,Lwe`ge`(ST),MMR001012
 Associate Scrutiny Card (blue),6,18,24,Lwe`ge`(ST),MMR001012
 Naturalised Scrutiny Card (green),116,20,136,Lwe`ge`(ST),MMR001012
 National Registration Card (3-fold),31,1,32,Lwe`ge`(ST),MMR001012
 Religious card,9,1,10,Lwe`ge`(ST),MMR001012
 Temporary Registration Card (white),26,-,26,Lwe`ge`(ST),MMR001012
 Foreign Registration Card (FRC),1,45,46,Lwe`ge`(ST),MMR001012
 Foreign Passport,15,-,15,Lwe`ge`(ST),MMR001012
 None,1283,241,1524,Lwe`ge`(ST),MMR001012
 Child under 10 years,1658,269,1927,Lwe`ge`(ST),MMR001012
 Total,8375,1664,10039,Lwe`ge`(ST),MMR001012
