Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6752,7029,13781,Minepan,MMR014021
 Associate Scrutiny Card (blue),-,11,11,Minepan,MMR014021
 Naturalised Scrutiny Card (green),3,33,36,Minepan,MMR014021
 National Registration Card (3-fold),40,79,119,Minepan,MMR014021
 Religious card,27,58,85,Minepan,MMR014021
 Temporary Registration Card (white),1,21,22,Minepan,MMR014021
 Foreign Passport,-,4,4,Minepan,MMR014021
 None,914,6486,7400,Minepan,MMR014021
 Child under 10 years,1235,3233,4468,Minepan,MMR014021
 Total,8972,16954,25926,Minepan,MMR014021
