Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),75432,127395,202827,Meiktila,MMR010028
 Associate Scrutiny Card (blue),106,15,121,Meiktila,MMR010028
 Naturalised Scrutiny Card (green),250,237,487,Meiktila,MMR010028
 National Registration Card (3-fold),616,1131,1747,Meiktila,MMR010028
 Religious card,1256,841,2097,Meiktila,MMR010028
 Temporary Registration Card (white),294,263,557,Meiktila,MMR010028
 Foreign Registration Card (FRC),23,8,31,Meiktila,MMR010028
 Foreign Passport,60,36,96,Meiktila,MMR010028
 None,17353,31800,49153,Meiktila,MMR010028
 Child under 10 years,16132,36415,52547,Meiktila,MMR010028
 Total,111522,198141,309663,Meiktila,MMR010028
