Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6698,83910,90608,Ayartaw,MMR005014
 Associate Scrutiny Card (blue),8,26,34,Ayartaw,MMR005014
 Naturalised Scrutiny Card (green),-,166,166,Ayartaw,MMR005014
 National Registration Card (3-fold),47,1719,1766,Ayartaw,MMR005014
 Religious card,49,651,700,Ayartaw,MMR005014
 Temporary Registration Card (white),12,53,65,Ayartaw,MMR005014
 Foreign Registration Card (FRC),-,1,1,Ayartaw,MMR005014
 Foreign Passport,3,37,40,Ayartaw,MMR005014
 None,1163,35775,36938,Ayartaw,MMR005014
 Child under 10 years,1536,23915,25451,Ayartaw,MMR005014
 Total,9516,146253,155769,Ayartaw,MMR005014
