Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),140229,19630,159859,Mawlamyine,MMR011001
 Associate Scrutiny Card (blue),168,12,180,Mawlamyine,MMR011001
 Naturalised Scrutiny Card (green),862,95,957,Mawlamyine,MMR011001
 National Registration Card (3-fold),21822,2132,23954,Mawlamyine,MMR011001
 Religious card,2491,641,3132,Mawlamyine,MMR011001
 Temporary Registration Card (white),622,60,682,Mawlamyine,MMR011001
 Foreign Registration Card (FRC),76,1,77,Mawlamyine,MMR011001
 Foreign Passport,214,275,489,Mawlamyine,MMR011001
 None,47527,6070,53597,Mawlamyine,MMR011001
 Child under 10 years,39723,6738,46461,Mawlamyine,MMR011001
 Total,253734,35654,289388,Mawlamyine,MMR011001
