Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),44861,150905,195766,Hpa-an,MMR003001
 Associate Scrutiny Card (blue),20,178,198,Hpa-an,MMR003001
 Naturalised Scrutiny Card (green),395,2801,3196,Hpa-an,MMR003001
 National Registration Card (3-fold),1414,3331,4745,Hpa-an,MMR003001
 Religious card,409,1462,1871,Hpa-an,MMR003001
 Temporary Registration Card (white),342,1584,1926,Hpa-an,MMR003001
 Foreign Registration Card (FRC),2,11,13,Hpa-an,MMR003001
 Foreign Passport,50,93,143,Hpa-an,MMR003001
 None,14864,104245,119109,Hpa-an,MMR003001
 Child under 10 years,12784,81824,94608,Hpa-an,MMR003001
 Total,75141,346434,421575,Hpa-an,MMR003001
