Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),12432,126452,138884,Taungtha,MMR010018
 Associate Scrutiny Card (blue),-,35,35,Taungtha,MMR010018
 Naturalised Scrutiny Card (green),5,394,399,Taungtha,MMR010018
 National Registration Card (3-fold),93,1886,1979,Taungtha,MMR010018
 Religious card,113,637,750,Taungtha,MMR010018
 Temporary Registration Card (white),7,151,158,Taungtha,MMR010018
 Foreign Passport,4,33,37,Taungtha,MMR010018
 None,2232,33815,36047,Taungtha,MMR010018
 Child under 10 years,2642,35711,38353,Taungtha,MMR010018
 Total,17528,199114,216642,Taungtha,MMR010018
