Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),35978,-,35978,Pazuntaung,MMR013016
 Associate Scrutiny Card (blue),460,-,460,Pazuntaung,MMR013016
 Naturalised Scrutiny Card (green),751,-,751,Pazuntaung,MMR013016
 National Registration Card (3-fold),1017,-,1017,Pazuntaung,MMR013016
 Religious card,445,-,445,Pazuntaung,MMR013016
 Temporary Registration Card (white),201,-,201,Pazuntaung,MMR013016
 Foreign Registration Card (FRC),172,-,172,Pazuntaung,MMR013016
 Foreign Passport,309,-,309,Pazuntaung,MMR013016
 None,4367,-,4367,Pazuntaung,MMR013016
 Child under 10 years,4755,-,4755,Pazuntaung,MMR013016
 Total,48455,-,48455,Pazuntaung,MMR013016
