Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),16337,31559,47896,Tantyan,MMR015004
 Associate Scrutiny Card (blue),55,39,94,Tantyan,MMR015004
 Naturalised Scrutiny Card (green),212,593,805,Tantyan,MMR015004
 National Registration Card (3-fold),899,6201,7100,Tantyan,MMR015004
 Religious card,218,199,417,Tantyan,MMR015004
 Temporary Registration Card (white),57,199,256,Tantyan,MMR015004
 Foreign Registration Card (FRC),31,1,32,Tantyan,MMR015004
 Foreign Passport,6,29,35,Tantyan,MMR015004
 None,8763,67827,76590,Tantyan,MMR015004
 Child under 10 years,7025,32555,39580,Tantyan,MMR015004
 Total,33603,139202,172805,Tantyan,MMR015004
