Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),74156,-,74156,Bahan,MMR013044
 Associate Scrutiny Card (blue),216,-,216,Bahan,MMR013044
 Naturalised Scrutiny Card (green),237,-,237,Bahan,MMR013044
 National Registration Card (3-fold),494,-,494,Bahan,MMR013044
 Religious card,3717,-,3717,Bahan,MMR013044
 Temporary Registration Card (white),321,-,321,Bahan,MMR013044
 Foreign Registration Card (FRC),156,-,156,Bahan,MMR013044
 Foreign Passport,1036,-,1036,Bahan,MMR013044
 None,8133,-,8133,Bahan,MMR013044
 Child under 10 years,8266,-,8266,Bahan,MMR013044
 Total,96732,-,96732,Bahan,MMR013044
