Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),81717,7357,89074,Dagon Myothit(Seik),MMR013021
 Associate Scrutiny Card (blue),114,2,116,Dagon Myothit(Seik),MMR013021
 Naturalised Scrutiny Card (green),944,24,968,Dagon Myothit(Seik),MMR013021
 National Registration Card (3-fold),6360,1032,7392,Dagon Myothit(Seik),MMR013021
 Religious card,494,51,545,Dagon Myothit(Seik),MMR013021
 Temporary Registration Card (white),2026,175,2201,Dagon Myothit(Seik),MMR013021
 Foreign Registration Card (FRC),16,-,16,Dagon Myothit(Seik),MMR013021
 Foreign Passport,93,6,99,Dagon Myothit(Seik),MMR013021
 None,33317,5193,38510,Dagon Myothit(Seik),MMR013021
 Child under 10 years,24995,3532,28527,Dagon Myothit(Seik),MMR013021
 Total,150076,17372,167448,Dagon Myothit(Seik),MMR013021
