Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2356,10944,13300,Ponparkyin(ST),MMR016008
 Associate Scrutiny Card (blue),-,21,21,Ponparkyin(ST),MMR016008
 Naturalised Scrutiny Card (green),1,19,20,Ponparkyin(ST),MMR016008
 National Registration Card (3-fold),9,55,64,Ponparkyin(ST),MMR016008
 Religious card,8,32,40,Ponparkyin(ST),MMR016008
 Temporary Registration Card (white),25,430,455,Ponparkyin(ST),MMR016008
 Foreign Registration Card (FRC),-,3,3,Ponparkyin(ST),MMR016008
 Foreign Passport,-,34,34,Ponparkyin(ST),MMR016008
 None,253,19448,19701,Ponparkyin(ST),MMR016008
 Child under 10 years,549,9632,10181,Ponparkyin(ST),MMR016008
 Total,3201,40618,43819,Ponparkyin(ST),MMR016008
