Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),50574,25006,75580,MuSe,MMR015009
 Associate Scrutiny Card (blue),181,46,227,MuSe,MMR015009
 Naturalised Scrutiny Card (green),423,259,682,MuSe,MMR015009
 National Registration Card (3-fold),1865,2861,4726,MuSe,MMR015009
 Religious card,150,197,347,MuSe,MMR015009
 Temporary Registration Card (white),218,227,445,MuSe,MMR015009
 Foreign Registration Card (FRC),20,4,24,MuSe,MMR015009
 Foreign Passport,57,44,101,MuSe,MMR015009
 None,8866,6806,15672,MuSe,MMR015009
 Child under 10 years,11959,7744,19703,MuSe,MMR015009
 Total,74313,43194,117507,MuSe,MMR015009
