Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),154134,33811,187945,Myitkyina,MMR001001
 Associate Scrutiny Card (blue),1125,28,1153,Myitkyina,MMR001001
 Naturalised Scrutiny Card (green),1582,103,1685,Myitkyina,MMR001001
 National Registration Card (3-fold),1009,438,1447,Myitkyina,MMR001001
 Religious card,729,103,832,Myitkyina,MMR001001
 Temporary Registration Card (white),1545,373,1918,Myitkyina,MMR001001
 Foreign Registration Card (FRC),352,6,358,Myitkyina,MMR001001
 Foreign Passport,103,6,109,Myitkyina,MMR001001
 None,39483,14622,54105,Myitkyina,MMR001001
 Child under 10 years,42969,14428,57397,Myitkyina,MMR001001
 Total,243031,63918,306949,Myitkyina,MMR001001
 Citizenship Scrutiny Card (pink),13017,44543,57560,Waingmaw,MMR001002
 Associate Scrutiny Card (blue),23,65,88,Waingmaw,MMR001002
 Naturalised Scrutiny Card (green),51,327,378,Waingmaw,MMR001002
 National Registration Card (3-fold),141,658,799,Waingmaw,MMR001002
 Religious card,65,72,137,Waingmaw,MMR001002
 Temporary Registration Card (white),36,404,440,Waingmaw,MMR001002
 Foreign Registration Card (FRC),8,137,145,Waingmaw,MMR001002
 Foreign Passport,4,16,20,Waingmaw,MMR001002
 None,4106,18436,22542,Waingmaw,MMR001002
 Child under 10 years,4518,19739,24257,Waingmaw,MMR001002
 Total,21969,84397,106366,Waingmaw,MMR001002
 Citizenship Scrutiny Card (pink),272,725,997,Ingyanyan,MMR001003
 National Registration Card (3-fold),-,1,1,Ingyanyan,MMR001003
 Temporary Registration Card (white),1,1,2,Ingyanyan,MMR001003
 None,56,266,322,Ingyanyan,MMR001003
 Child under 10 years,116,294,410,Ingyanyan,MMR001003
 Total,445,1287,1732,Ingyanyan,MMR001003
 Citizenship Scrutiny Card (pink),18431,7868,26299,Tanaing,MMR001004
 Associate Scrutiny Card (blue),15,1,16,Tanaing,MMR001004
 Naturalised Scrutiny Card (green),71,21,92,Tanaing,MMR001004
 National Registration Card (3-fold),222,347,569,Tanaing,MMR001004
 Religious card,28,31,59,Tanaing,MMR001004
 Temporary Registration Card (white),116,71,187,Tanaing,MMR001004
 Foreign Registration Card (FRC),1,-,1,Tanaing,MMR001004
 Foreign Passport,2,11,13,Tanaing,MMR001004
 None,6297,4468,10765,Tanaing,MMR001004
 Child under 10 years,6815,3750,10565,Tanaing,MMR001004
 Total,31998,16568,48566,Tanaing,MMR001004
 Citizenship Scrutiny Card (pink),996,3747,4743,Chiphwe,MMR001005
 Associate Scrutiny Card (blue),-,4,4,Chiphwe,MMR001005
 Naturalised Scrutiny Card (green),-,4,4,Chiphwe,MMR001005
 National Registration Card (3-fold),11,58,69,Chiphwe,MMR001005
 Religious card,1,6,7,Chiphwe,MMR001005
 Temporary Registration Card (white),8,95,103,Chiphwe,MMR001005
 Foreign Registration Card (FRC),-,33,33,Chiphwe,MMR001005
 Foreign Passport,-,11,11,Chiphwe,MMR001005
