Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6174,2688,8862,Kamamaung(ST},MMR003003
 Associate Scrutiny Card (blue),4,1,5,Kamamaung(ST},MMR003003
 Naturalised Scrutiny Card (green),27,2,29,Kamamaung(ST},MMR003003
 National Registration Card (3-fold),294,46,340,Kamamaung(ST},MMR003003
 Religious card,35,7,42,Kamamaung(ST},MMR003003
 Temporary Registration Card (white),182,4,186,Kamamaung(ST},MMR003003
 Foreign Passport,1,-,1,Kamamaung(ST},MMR003003
 None,3967,2239,6206,Kamamaung(ST},MMR003003
 Child under 10 years,3308,1916,5224,Kamamaung(ST},MMR003003
 Total,13992,6903,20895,Kamamaung(ST},MMR003003
