Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6306,18097,24403,Falam,MMR004001
 Associate Scrutiny Card (blue),5,5,10,Falam,MMR004001
 Naturalised Scrutiny Card (green),1,15,16,Falam,MMR004001
 National Registration Card (3-fold),4,41,45,Falam,MMR004001
 Religious card,15,2,17,Falam,MMR004001
 Temporary Registration Card (white),3,28,31,Falam,MMR004001
 Foreign Registration Card (FRC),-,5,5,Falam,MMR004001
 Foreign Passport,-,10,10,Falam,MMR004001
 None,1139,5462,6601,Falam,MMR004001
 Child under 10 years,1619,8700,10319,Falam,MMR004001
 Total,9092,32365,41457,Falam,MMR004001
