Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18803,128376,147179,Pyawbwe,MMR010024
 Associate Scrutiny Card (blue),54,73,127,Pyawbwe,MMR010024
 Naturalised Scrutiny Card (green),69,528,597,Pyawbwe,MMR010024
 National Registration Card (3-fold),175,2435,2610,Pyawbwe,MMR010024
 Religious card,146,876,1022,Pyawbwe,MMR010024
 Temporary Registration Card (white),224,340,564,Pyawbwe,MMR010024
 Foreign Registration Card (FRC),74,13,87,Pyawbwe,MMR010024
 Foreign Passport,8,45,53,Pyawbwe,MMR010024
 None,7585,54145,61730,Pyawbwe,MMR010024
 Child under 10 years,5076,41248,46324,Pyawbwe,MMR010024
 Total,32214,228079,260293,Pyawbwe,MMR010024
