Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),133715,-,133715,Thingangyun,MMR013009
 Associate Scrutiny Card (blue),356,-,356,Thingangyun,MMR013009
 Naturalised Scrutiny Card (green),3508,-,3508,Thingangyun,MMR013009
 National Registration Card (3-fold),8267,-,8267,Thingangyun,MMR013009
 Religious card,2380,-,2380,Thingangyun,MMR013009
 Temporary Registration Card (white),4985,-,4985,Thingangyun,MMR013009
 Foreign Registration Card (FRC),241,-,241,Thingangyun,MMR013009
 Foreign Passport,360,-,360,Thingangyun,MMR013009
 None,30545,-,30545,Thingangyun,MMR013009
 Child under 10 years,25129,-,25129,Thingangyun,MMR013009
 Total,209486,-,209486,Thingangyun,MMR013009
