Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3104,79660,82764,Depayin,MMR005010
 Associate Scrutiny Card (blue),-,22,22,Depayin,MMR005010
 Naturalised Scrutiny Card (green),1,128,129,Depayin,MMR005010
 National Registration Card (3-fold),5,678,683,Depayin,MMR005010
 Religious card,26,471,497,Depayin,MMR005010
 Temporary Registration Card (white),-,71,71,Depayin,MMR005010
 Foreign Registration Card (FRC),-,3,3,Depayin,MMR005010
 Foreign Passport,-,17,17,Depayin,MMR005010
 None,468,29794,30262,Depayin,MMR005010
 Child under 10 years,704,25663,26367,Depayin,MMR005010
 Total,4308,136507,140815,Depayin,MMR005010
