Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17683,57517,75200,Khayan,MMR013026
 Associate Scrutiny Card (blue),15,36,51,Khayan,MMR013026
 Naturalised Scrutiny Card (green),423,687,1110,Khayan,MMR013026
 National Registration Card (3-fold),1883,5943,7826,Khayan,MMR013026
 Religious card,218,328,546,Khayan,MMR013026
 Temporary Registration Card (white),193,321,514,Khayan,MMR013026
 Foreign Registration Card (FRC),-,3,3,Khayan,MMR013026
 Foreign Passport,4,22,26,Khayan,MMR013026
 None,7081,36924,44005,Khayan,MMR013026
 Child under 10 years,5477,23261,28738,Khayan,MMR013026
 Total,32977,125042,158019,Khayan,MMR013026
