Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),69305,-,69305,Kamayut,MMR013041
 Associate Scrutiny Card (blue),267,-,267,Kamayut,MMR013041
 Naturalised Scrutiny Card (green),303,-,303,Kamayut,MMR013041
 National Registration Card (3-fold),277,-,277,Kamayut,MMR013041
 Religious card,230,-,230,Kamayut,MMR013041
 Temporary Registration Card (white),199,-,199,Kamayut,MMR013041
 Foreign Registration Card (FRC),135,-,135,Kamayut,MMR013041
 Foreign Passport,974,-,974,Kamayut,MMR013041
 None,5965,-,5965,Kamayut,MMR013041
 Child under 10 years,6914,-,6914,Kamayut,MMR013041
 Total,84569,-,84569,Kamayut,MMR013041
