Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),27829,110370,138199,Tatkon,MMR018003
 Associate Scrutiny Card (blue),33,22,55,Tatkon,MMR018003
 Naturalised Scrutiny Card (green),59,158,217,Tatkon,MMR018003
 National Registration Card (3-fold),170,1442,1612,Tatkon,MMR018003
 Religious card,270,543,813,Tatkon,MMR018003
 Temporary Registration Card (white),60,215,275,Tatkon,MMR018003
 Foreign Registration Card (FRC),3,-,3,Tatkon,MMR018003
 Foreign Passport,4,20,24,Tatkon,MMR018003
 None,6692,30020,36712,Tatkon,MMR018003
 Child under 10 years,6563,32620,39183,Tatkon,MMR018003
 Total,41683,175410,217093,Tatkon,MMR018003
