Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15797,127847,143644,Madaya,MMR010009
 Associate Scrutiny Card (blue),3,62,65,Madaya,MMR010009
 Naturalised Scrutiny Card (green),23,313,336,Madaya,MMR010009
 National Registration Card (3-fold),80,1096,1176,Madaya,MMR010009
 Religious card,273,792,1065,Madaya,MMR010009
 Temporary Registration Card (white),21,203,224,Madaya,MMR010009
 Foreign Registration Card (FRC),2,7,9,Madaya,MMR010009
 Foreign Passport,-,19,19,Madaya,MMR010009
 None,4383,59232,63615,Madaya,MMR010009
 Child under 10 years,3652,44196,47848,Madaya,MMR010009
 Total,24234,233767,258001,Madaya,MMR010009
