Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),15133,112490,127623,Nyaungdon,MMR017021
 Associate Scrutiny Card (blue),9,42,51,Nyaungdon,MMR017021
 Naturalised Scrutiny Card (green),66,131,197,Nyaungdon,MMR017021
 National Registration Card (3-fold),212,916,1128,Nyaungdon,MMR017021
 Religious card,359,525,884,Nyaungdon,MMR017021
 Temporary Registration Card (white),49,104,153,Nyaungdon,MMR017021
 Foreign Registration Card (FRC),40,-,40,Nyaungdon,MMR017021
 Foreign Passport,7,26,33,Nyaungdon,MMR017021
 None,4894,40259,45153,Nyaungdon,MMR017021
 Child under 10 years,3686,36958,40644,Nyaungdon,MMR017021
 Total,24455,191451,215906,Nyaungdon,MMR017021
