Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),8601,103356,111957,Ingapu,MMR017013
 Associate Scrutiny Card (blue),14,52,66,Ingapu,MMR017013
 Naturalised Scrutiny Card (green),21,134,155,Ingapu,MMR017013
 National Registration Card (3-fold),56,1020,1076,Ingapu,MMR017013
 Religious card,110,673,783,Ingapu,MMR017013
 Temporary Registration Card (white),14,164,178,Ingapu,MMR017013
 Foreign Registration Card (FRC),-,1,1,Ingapu,MMR017013
 Foreign Passport,-,16,16,Ingapu,MMR017013
 None,2578,60779,63357,Ingapu,MMR017013
 Child under 10 years,1926,34869,36795,Ingapu,MMR017013
 Total,13320,201064,214384,Ingapu,MMR017013
