Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3733,22922,26655,Saw,MMR009025
 Associate Scrutiny Card (blue),2,2,4,Saw,MMR009025
 Naturalised Scrutiny Card (green),1,10,11,Saw,MMR009025
 National Registration Card (3-fold),3,22,25,Saw,MMR009025
 Religious card,16,161,177,Saw,MMR009025
 Temporary Registration Card (white),1,13,14,Saw,MMR009025
 Foreign Passport,-,2,2,Saw,MMR009025
 None,347,2412,2759,Saw,MMR009025
 Child under 10 years,759,5426,6185,Saw,MMR009025
 Total,4862,30970,35832,Saw,MMR009025
