Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),80713,-,80713,Sangyoung,MMR013039
 Associate Scrutiny Card (blue),354,-,354,Sangyoung,MMR013039
 Naturalised Scrutiny Card (green),372,-,372,Sangyoung,MMR013039
 National Registration Card (3-fold),625,-,625,Sangyoung,MMR013039
 Religious card,1552,-,1552,Sangyoung,MMR013039
 Temporary Registration Card (white),185,-,185,Sangyoung,MMR013039
 Foreign Registration Card (FRC),86,-,86,Sangyoung,MMR013039
 Foreign Passport,245,-,245,Sangyoung,MMR013039
 None,6964,-,6964,Sangyoung,MMR013039
 Child under 10 years,8523,-,8523,Sangyoung,MMR013039
 Total,99619,-,99619,Sangyoung,MMR013039
