Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),4891,7063,11954,Kunhing,MMR014014
 Associate Scrutiny Card (blue),4,2,6,Kunhing,MMR014014
 Naturalised Scrutiny Card (green),17,8,25,Kunhing,MMR014014
 National Registration Card (3-fold),13,44,57,Kunhing,MMR014014
 Religious card,56,26,82,Kunhing,MMR014014
 Temporary Registration Card (white),3,24,27,Kunhing,MMR014014
 Foreign Passport,-,5,5,Kunhing,MMR014014
 None,1396,4365,5761,Kunhing,MMR014014
 Child under 10 years,1201,2705,3906,Kunhing,MMR014014
 Total,7581,14242,21823,Kunhing,MMR014014
