Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3307,47812,51119,Ywarngan,MMR014007
 Associate Scrutiny Card (blue),6,11,17,Ywarngan,MMR014007
 Naturalised Scrutiny Card (green),1,31,32,Ywarngan,MMR014007
 National Registration Card (3-fold),2,160,162,Ywarngan,MMR014007
 Religious card,27,315,342,Ywarngan,MMR014007
 Temporary Registration Card (white),7,20,27,Ywarngan,MMR014007
 Foreign Registration Card (FRC),-,2,2,Ywarngan,MMR014007
 Foreign Passport,1,12,13,Ywarngan,MMR014007
 None,466,13785,14251,Ywarngan,MMR014007
 Child under 10 years,700,15867,16567,Ywarngan,MMR014007
 Total,4517,78015,82532,Ywarngan,MMR014007
