Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),21993,62553,84546,Ye,MMR011006
 Associate Scrutiny Card (blue),13,50,63,Ye,MMR011006
 Naturalised Scrutiny Card (green),72,216,288,Ye,MMR011006
 National Registration Card (3-fold),385,1080,1465,Ye,MMR011006
 Religious card,217,649,866,Ye,MMR011006
 Temporary Registration Card (white),78,296,374,Ye,MMR011006
 Foreign Registration Card (FRC),3,5,8,Ye,MMR011006
 Foreign Passport,5,11,16,Ye,MMR011006
 None,6001,29347,35348,Ye,MMR011006
 Child under 10 years,5663,23848,29511,Ye,MMR011006
 Total,34430,118055,152485,Ye,MMR011006
