Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),25469,48600,74069,Kyukme,MMR015012
 Associate Scrutiny Card (blue),305,62,367,Kyukme,MMR015012
 Naturalised Scrutiny Card (green),384,273,657,Kyukme,MMR015012
 National Registration Card (3-fold),711,1926,2637,Kyukme,MMR015012
 Religious card,221,256,477,Kyukme,MMR015012
 Temporary Registration Card (white),105,143,248,Kyukme,MMR015012
 Foreign Registration Card (FRC),70,19,89,Kyukme,MMR015012
 Foreign Passport,11,12,23,Kyukme,MMR015012
 None,6210,18928,25138,Kyukme,MMR015012
 Child under 10 years,6444,17411,23855,Kyukme,MMR015012
 Total,39930,87630,127560,Kyukme,MMR015012
