Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),7768,37192,44960,Lamine,MMR011006
 Associate Scrutiny Card (blue),4,15,19,Lamine,MMR011006
 Naturalised Scrutiny Card (green),12,77,89,Lamine,MMR011006
 National Registration Card (3-fold),134,612,746,Lamine,MMR011006
 Religious card,63,261,324,Lamine,MMR011006
 Temporary Registration Card (white),40,151,191,Lamine,MMR011006
 Foreign Registration Card (FRC),1,1,2,Lamine,MMR011006
 Foreign Passport,-,16,16,Lamine,MMR011006
 None,2759,19363,22122,Lamine,MMR011006
 Child under 10 years,2833,17174,20007,Lamine,MMR011006
 Total,13614,74862,88476,Lamine,MMR011006
