Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3084,58327,61411,Thabeikkyin,MMR010012
 Associate Scrutiny Card (blue),-,43,43,Thabeikkyin,MMR010012
 Naturalised Scrutiny Card (green),29,368,397,Thabeikkyin,MMR010012
 National Registration Card (3-fold),171,2722,2893,Thabeikkyin,MMR010012
 Religious card,36,242,278,Thabeikkyin,MMR010012
 Temporary Registration Card (white),13,571,584,Thabeikkyin,MMR010012
 Foreign Registration Card (FRC),-,5,5,Thabeikkyin,MMR010012
 Foreign Passport,-,27,27,Thabeikkyin,MMR010012
 None,1186,33347,34533,Thabeikkyin,MMR010012
 Child under 10 years,1111,26550,27661,Thabeikkyin,MMR010012
 Total,5630,122202,127832,Thabeikkyin,MMR010012
