Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),-,4062,4062,Mine Pauk(ST),MMR016003
 Associate Scrutiny Card (blue),-,28,28,Mine Pauk(ST),MMR016003
 Naturalised Scrutiny Card (green),-,20,20,Mine Pauk(ST),MMR016003
 National Registration Card (3-fold),-,8,8,Mine Pauk(ST),MMR016003
 Religious card,-,9,9,Mine Pauk(ST),MMR016003
 Temporary Registration Card (white),-,93,93,Mine Pauk(ST),MMR016003
 Foreign Registration Card (FRC),-,168,168,Mine Pauk(ST),MMR016003
 Foreign Passport,-,13,13,Mine Pauk(ST),MMR016003
 None,-,38374,38374,Mine Pauk(ST),MMR016003
 Child under 10 years,-,12279,12279,Mine Pauk(ST),MMR016003
 Total,-,55054,55054,Mine Pauk(ST),MMR016003
