Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2148,6130,8278,Pyigyimandaing,MMR006010
 Associate Scrutiny Card (blue),1,1,2,Pyigyimandaing,MMR006010
 Naturalised Scrutiny Card (green),3,21,24,Pyigyimandaing,MMR006010
 National Registration Card (3-fold),30,144,174,Pyigyimandaing,MMR006010
 Religious card,9,23,32,Pyigyimandaing,MMR006010
 Temporary Registration Card (white),6,22,28,Pyigyimandaing,MMR006010
 Foreign Registration Card (FRC),2,-,2,Pyigyimandaing,MMR006010
 Foreign Passport,-,14,14,Pyigyimandaing,MMR006010
 None,637,3165,3802,Pyigyimandaing,MMR006010
 Child under 10 years,810,3438,4248,Pyigyimandaing,MMR006010
 Total,3646,12958,16604,Pyigyimandaing,MMR006010
