Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),11855,39980,51835,Palaw,MMR006007
 Associate Scrutiny Card (blue),3,15,18,Palaw,MMR006007
 Naturalised Scrutiny Card (green),21,92,113,Palaw,MMR006007
 National Registration Card (3-fold),77,570,647,Palaw,MMR006007
 Religious card,53,249,302,Palaw,MMR006007
 Temporary Registration Card (white),19,106,125,Palaw,MMR006007
 Foreign Registration Card (FRC),5,1,6,Palaw,MMR006007
 Foreign Passport,3,6,9,Palaw,MMR006007
 None,3161,15500,18661,Palaw,MMR006007
 Child under 10 years,3739,17983,21722,Palaw,MMR006007
 Total,18936,74502,93438,Palaw,MMR006007
