Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6407,57054,63461,Seikphyu,MMR009022
 Associate Scrutiny Card (blue),6,7,13,Seikphyu,MMR009022
 Naturalised Scrutiny Card (green),10,80,90,Seikphyu,MMR009022
 National Registration Card (3-fold),27,293,320,Seikphyu,MMR009022
 Religious card,60,272,332,Seikphyu,MMR009022
 Temporary Registration Card (white),1,61,62,Seikphyu,MMR009022
 Foreign Registration Card (FRC),1,-,1,Seikphyu,MMR009022
 Foreign Passport,1,73,74,Seikphyu,MMR009022
 None,1149,16528,17677,Seikphyu,MMR009022
 Child under 10 years,1419,19320,20739,Seikphyu,MMR009022
 Total,9081,93688,102769,Seikphyu,MMR009022
