Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),5151,23116,28267,Thantlang,MMR004003
 Associate Scrutiny Card (blue),-,6,6,Thantlang,MMR004003
 Naturalised Scrutiny Card (green),-,6,6,Thantlang,MMR004003
 National Registration Card (3-fold),19,232,251,Thantlang,MMR004003
 Religious card,6,5,11,Thantlang,MMR004003
 Temporary Registration Card (white),7,23,30,Thantlang,MMR004003
 Foreign Registration Card (FRC),1,5,6,Thantlang,MMR004003
 Foreign Passport,-,23,23,Thantlang,MMR004003
 None,799,7076,7875,Thantlang,MMR004003
 Child under 10 years,1604,12295,13899,Thantlang,MMR004003
 Total,7587,42787,50374,Thantlang,MMR004003
