Identity_card,Urban_Rural_Urban,Urban_Rural_Rural,Urban_Rural_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),156584,35430,192014,Shwepyitha,MMR013007
 Associate Scrutiny Card (blue),168,21,189,Shwepyitha,MMR013007
 Naturalised Scrutiny Card (green),1453,230,1683,Shwepyitha,MMR013007
 National Registration Card (3-fold),13403,2173,15576,Shwepyitha,MMR013007
 Religious card,1194,264,1458,Shwepyitha,MMR013007
 Temporary Registration Card (white),3911,688,4599,Shwepyitha,MMR013007
 Foreign Registration Card (FRC),174,28,202,Shwepyitha,MMR013007
 Foreign Passport,73,10,83,Shwepyitha,MMR013007
 None,58647,14484,73131,Shwepyitha,MMR013007
 Child under 10 years,44188,10403,54591,Shwepyitha,MMR013007
 Total,279795,63731,343526,Shwepyitha,MMR013007
